942.1hPa	キュウヒャクヨンジュウニテンイチヘクトパスカル
京都府右京区嵯峨越畑兵庫前町	キョウトフウキョウクサガコシハタヒョウゴマエチョウ
京都府右京区嵯峨越畑南ノ町	キョウトフウキョウクサガコシハタミナミノチョウ
京都府右京区嵯峨越畑桃原	キョウトフウキョウクサガコシハタモモハラ
京都府右京区嵯峨越畑桃原垣内	キョウトフウキョウクサガコシハタモモハラガイチ
京都府右京区嵯峨五島町	キョウトフウキョウクサガゴトウチョウ
京都府右京区嵯峨樒原稲荷元町	キョウトフウキョウクサガシキミガハライナリモトチョウ
京都府右京区嵯峨樒原清水町	キョウトフウキョウクサガシキミガハラシミズチョウ
京都府右京区嵯峨樒原高見町	キョウトフウキョウクサガシキミガハラタカミチョウ
京都府右京区嵯峨樒原宮ノ上町	キョウトフウキョウクサガシキミガハラミヤノウエチョウ
京都府右京区嵯峨樒原若宮下町	キョウトフウキョウクサガシキミガハラワカミヤシタチョウ
京都府右京区嵯峨釈迦堂大門町	キョウトフウキョウクサガシャカドウダイモンチョウ
京都府右京区嵯峨釈迦堂藤ノ木町	キョウトフウキョウクサガシャカドウフジノキチョウ
京都府右京区嵯峨釈迦堂門前裏柳町	キョウトフウキョウクサガシャカドウモンゼンウラヤナギチョウ
京都府右京区嵯峨釈迦堂門前瀬戸川町	キョウトフウキョウクサガシャカドウモンゼンセトガワチョウ
京都府右京区嵯峨釈迦堂門前南中院町	キョウトフウキョウクサガシャカドウモンゼンミナミチュウインチョウ
京都府右京区嵯峨新宮町	キョウトフウキョウクサガシングウチョウ
京都府右京区嵯峨大覚寺門前井頭町	キョウトフウキョウクサガダイカクジモンゼンイトウチョウ
京都府右京区嵯峨大覚寺門前堂ノ前町	キョウトフウキョウクサガダイカクジモンゼンドウノマエチョウ
京都府右京区嵯峨大覚寺門前登り町	キョウトフウキョウクサガダイカクジモンゼンノボリチョウ
京都府右京区嵯峨大覚寺門前八軒町	キョウトフウキョウクサガダイカクジモンゼンハッケンチョウ
京都府右京区嵯峨大覚寺門前宮ノ下町	キョウトフウキョウクサガダイカクジモンゼンミヤノシタチョウ
京都府右京区嵯峨大覚寺門前六道町	キョウトフウキョウクサガダイカクジモンゼンロクドウチョウ
京都府右京区嵯峨釣殿町	キョウトフウキョウクサガツリドノチョウ
京都府右京区嵯峨天龍寺油掛町	キョウトフウキョウクサガテンリュウジアブラカケチョウ
京都府右京区嵯峨天龍寺今堀町	キョウトフウキョウクサガテンリュウジイマホリチョウ
京都府右京区嵯峨天龍寺北造路町	キョウトフウキョウクサガテンリュウジキタツクリミチチョウ
京都府右京区嵯峨天龍寺車道町	キョウトフウキョウクサガテンリュウジクルマミチチョウ
京都府右京区嵯峨天龍寺椎野町	キョウトフウキョウクサガテンリュウジシイノチョウ
京都府右京区嵯峨天龍寺芒ノ馬場町	キョウトフウキョウクサガテンリュウジススキノババチョウ
京都府右京区嵯峨天龍寺角倉町	キョウトフウキョウクサガテンリュウジスミノクラチョウ
京都府右京区嵯峨天龍寺瀬戸川町	キョウトフウキョウクサガテンリュウジセトガワチョウ
京都府右京区嵯峨天龍寺立石町	キョウトフウキョウクサガテンリュウジタテイシチョウ
京都府右京区嵯峨天龍寺造路町	キョウトフウキョウクサガテンリュウジツクリミチチョウ
京都府右京区嵯峨天龍寺中島町	キョウトフウキョウクサガテンリュウジナカジマチョウ
京都府右京区嵯峨天龍寺広道町	キョウトフウキョウクサガテンリュウジヒロミチチョウ
京都府右京区嵯峨天龍寺龍門町	キョウトフウキョウクサガテンリュウジリュウモンチョウ
京都府右京区嵯峨天龍寺若宮町	キョウトフウキョウクサガテンリュウジワカミヤチョウ
京都府右京区嵯峨鳥居本化野町	キョウトフウキョウクサガトリイモトアダシノチョウ
京都府右京区嵯峨鳥居本一華表町	キョウトフウキョウクサガトリイモトイッカヒョウチョウ
京都府右京区嵯峨鳥居本北代町	キョウトフウキョウクサガトリイモトキタダイチョウ
京都府右京区嵯峨鳥居本小坂町	キョウトフウキョウクサガトリイモトコザカチョウ
京都府右京区嵯峨鳥居本仙翁町	キョウトフウキョウクサガトリイモトセンノウチョウ
京都府右京区嵯峨鳥居本中筋町	キョウトフウキョウクサガトリイモトナカスジチョウ
京都府右京区嵯峨鳥居本深谷町	キョウトフウキョウクサガトリイモトフカタニチョウ
京都府右京区嵯峨鳥居本仏餉田町	キョウトフウキョウクサガトリイモトブツショウデンチョウ
京都府右京区嵯峨鳥居本六反町	キョウトフウキョウクサガトリイモトロクタンチョウ
京都府右京区嵯峨蜻蛉尻町	キョウトフウキョウクサガトンボジリチョウ
京都府右京区嵯峨中通町	キョウトフウキョウクサガナカドオリチョウ
京都府右京区嵯峨中之島町	キョウトフウキョウクサガナカノシマチョウ
京都府右京区嵯峨中又町	キョウトフウキョウクサガナカマタチョウ
京都府右京区嵯峨中山町	キョウトフウキョウクサガナカヤマチョウ
京都府右京区嵯峨二尊院門前往生院町	キョウトフウキョウクサガニソンインモンゼンオウジョウインチョウ
京都府右京区嵯峨二尊院門前北中院町	キョウトフウキョウクサガニソンインモンゼンキタチュウインチョウ
京都府右京区嵯峨二尊院門前善光寺山町	キョウトフウキョウクサガニソンインモンゼンゼンコウジヤマチョウ
京都府右京区嵯峨二尊院門前長神町	キョウトフウキョウクサガニソンインモンゼンチョウジンチョウ
京都府右京区嵯峨野秋街道町	キョウトフウキョウクサガノアキカイドウチョウ
京都府右京区嵯峨野有栖川町	キョウトフウキョウクサガノアリスガワチョウ
京都府右京区嵯峨野内田町	キョウトフウキョウクサガノウチダチョウ
京都府右京区嵯峨野神ノ木町	キョウトフウキョウクサガノカミノキチョウ
京都府右京区嵯峨野北野町	キョウトフウキョウクサガノキタノチョウ
京都府右京区嵯峨野嵯峨ノ段町	キョウトフウキョウクサガノサガノダンマチ
京都府右京区嵯峨野芝野町	キョウトフウキョウクサガノシバノチョウ
京都府右京区嵯峨野清水町	キョウトフウキョウクサガノシミズチョウ
京都府右京区嵯峨野高田町	キョウトフウキョウクサガノタカダチョウ
京都府右京区嵯峨野千代ノ道町	キョウトフウキョウクサガノチヨノミチチョウ
京都府右京区嵯峨野投渕町	キョウトフウキョウクサガノナゲブチチョウ
京都府右京区嵯峨野西ノ藤町	キョウトフウキョウクサガノニシノフジチョウ
京都府右京区嵯峨野々宮町	キョウトフウキョウクサガノノミヤチョウ
京都府右京区嵯峨野東田町	キョウトフウキョウクサガノヒガシダチョウ
京都府右京区嵯峨野開町	キョウトフウキョウクサガノヒラキチョウ
京都府右京区嵯峨野南浦町	キョウトフウキョウクサガノミナミウラチョウ
京都府右京区嵯峨野宮ノ元町	キョウトフウキョウクサガノミヤノモトチョウ
京都府右京区嵯峨野六反田町	キョウトフウキョウクサガノロクタンダチョウ
